dealer,region,units_sold,total_revenue,avg_sale_price
Prairie Motors,Manitoba,129,11001550.16,85283.33
Winnipeg Auto Centre,Manitoba,113,9879026.54,87425.01
Edmonton Premier Cars,Alberta,82,7634677.96,93105.83
Montreal Auto Group,Quebec,84,7615092.58,90655.86
Laval Premium Cars,Quebec,89,7520279.94,84497.53
Quebec City Motors,Quebec,80,7338339.34,91729.24
Rocky Mountain Motors,Alberta,78,7082467.71,90800.87
Pacific Auto Centre,British Columbia,78,7016018.81,89948.96
Calgary Auto Hub,Alberta,70,6385540.8,91222.01
Westcoast Dealership,British Columbia,73,6323143.32,86618.4
