month_label,sale_year,sale_month,units_sold,monthly_revenue,avg_price
2023-01,2023,1,57,5025582.53,88168.11
2023-02,2023,2,44,3894214.37,88504.87
2023-03,2023,3,46,3896140.71,84698.71
2023-04,2023,4,53,4636826.03,87487.28
2023-05,2023,5,54,4591386.9,85025.68
2023-06,2023,6,54,4797622.41,88844.86
2023-07,2023,7,50,4179048.06,83580.96
2023-08,2023,8,47,4134179.28,87961.26
2023-09,2023,9,65,5769411.91,88760.18
2023-10,2023,10,42,3568954.88,84975.12
2023-11,2023,11,47,4457098.15,94831.88
2023-12,2023,12,32,2977393.18,93043.54
2024-01,2024,1,52,4674266.49,89889.74
2024-02,2024,2,45,4293692.75,95415.39
2024-03,2024,3,45,3839525.42,85322.79
2024-04,2024,4,60,5002346.67,83372.44
2024-05,2024,5,43,3545687.6,82457.85
2024-06,2024,6,51,4534278.34,88907.42
2024-07,2024,7,50,4529902.28,90598.05
2024-08,2024,8,50,4245124.03,84902.48
2024-09,2024,9,62,5925464.64,95572.01
2024-10,2024,10,55,5429738.57,98722.52
2024-11,2024,11,48,4063584.78,84658.02
2024-12,2024,12,50,4690593.79,93811.88
