year_quarter,region,units_sold,quarterly_revenue
2023-Q1,Quebec,39,3396046.67
2023-Q1,Alberta,28,2531664.63
2023-Q1,Ontario,28,2528217.4
2023-Q1,Manitoba,26,2308438.93
2023-Q1,British Columbia,26,2051569.98
2023-Q2,Ontario,37,3276682.89
2023-Q2,Quebec,32,2869908.92
2023-Q2,Alberta,31,2858134.98
2023-Q2,Manitoba,34,2765665.8
2023-Q2,British Columbia,27,2255442.75
2023-Q3,Manitoba,39,3314918.85
2023-Q3,British Columbia,34,2904250.3
2023-Q3,Alberta,32,2750982.8
2023-Q3,Quebec,29,2570494.07
2023-Q3,Ontario,28,2541993.23
2023-Q4,Ontario,34,3176014.49
2023-Q4,British Columbia,28,2493100.72
2023-Q4,Quebec,22,2034477.13
2023-Q4,Alberta,20,1806984.55
2023-Q4,Manitoba,17,1492869.32
2024-Q1,Alberta,28,2812630.55
2024-Q1,Quebec,31,2732038.27
2024-Q1,Manitoba,32,2704820.27
2024-Q1,Ontario,30,2599488.95
2024-Q1,British Columbia,21,1958506.62
2024-Q2,Manitoba,38,3257288.08
2024-Q2,Ontario,30,2710229.99
2024-Q2,Quebec,34,2592158.52
2024-Q2,Alberta,29,2544567.27
2024-Q2,British Columbia,23,1978068.75
2024-Q3,Ontario,46,4015805.28
2024-Q3,Quebec,32,2995566.45
2024-Q3,British Columbia,31,2829996.76
2024-Q3,Manitoba,29,2670485.71
2024-Q3,Alberta,24,2188636.75
2024-Q4,Alberta,38,3609084.94
2024-Q4,Quebec,34,3283021.83
2024-Q4,Ontario,33,2941576.81
2024-Q4,Manitoba,27,2366089.74
2024-Q4,British Columbia,21,1984143.82
