region,total_units_sold,total_revenue,avg_sale_price,min_sale_price,max_sale_price,data_type,month_label,sale_year,sale_month,units_sold,monthly_revenue,avg_price,category,model,revenue_tier,pct_of_units,yoy_revenue_growth_pct,yoy_units_growth_pct,dealer
Ontario,266.0,23790009.04,89436.12,48057.96,151375.31,Regional Performance,,,,,,,,,,,,,
Quebec,253.0,22473711.86,88828.9,48230.76,146195.75,Regional Performance,,,,,,,,,,,,,
Alberta,230.0,21102686.47,91750.81,49076.87,151655.04,Regional Performance,,,,,,,,,,,,,
Manitoba,242.0,20880576.7,86283.37,49686.81,150525.46,Regional Performance,,,,,,,,,,,,,
British Columbia,211.0,18455079.7,87464.83,48199.09,152518.31,Regional Performance,,,,,,,,,,,,,
,,,,,,Monthly Trend,2023-01,2023.0,1.0,57.0,5025582.53,88168.11,,,,,,,
,,,,,,Monthly Trend,2023-02,2023.0,2.0,44.0,3894214.37,88504.87,,,,,,,
,,,,,,Monthly Trend,2023-03,2023.0,3.0,46.0,3896140.71,84698.71,,,,,,,
,,,,,,Monthly Trend,2023-04,2023.0,4.0,53.0,4636826.03,87487.28,,,,,,,
,,,,,,Monthly Trend,2023-05,2023.0,5.0,54.0,4591386.9,85025.68,,,,,,,
,,,,,,Monthly Trend,2023-06,2023.0,6.0,54.0,4797622.41,88844.86,,,,,,,
,,,,,,Monthly Trend,2023-07,2023.0,7.0,50.0,4179048.06,83580.96,,,,,,,
,,,,,,Monthly Trend,2023-08,2023.0,8.0,47.0,4134179.28,87961.26,,,,,,,
,,,,,,Monthly Trend,2023-09,2023.0,9.0,65.0,5769411.91,88760.18,,,,,,,
,,,,,,Monthly Trend,2023-10,2023.0,10.0,42.0,3568954.88,84975.12,,,,,,,
,,,,,,Monthly Trend,2023-11,2023.0,11.0,47.0,4457098.15,94831.88,,,,,,,
,,,,,,Monthly Trend,2023-12,2023.0,12.0,32.0,2977393.18,93043.54,,,,,,,
,,,,,,Monthly Trend,2024-01,2024.0,1.0,52.0,4674266.49,89889.74,,,,,,,
,,,,,,Monthly Trend,2024-02,2024.0,2.0,45.0,4293692.75,95415.39,,,,,,,
,,,,,,Monthly Trend,2024-03,2024.0,3.0,45.0,3839525.42,85322.79,,,,,,,
,,,,,,Monthly Trend,2024-04,2024.0,4.0,60.0,5002346.67,83372.44,,,,,,,
,,,,,,Monthly Trend,2024-05,2024.0,5.0,43.0,3545687.6,82457.85,,,,,,,
